Alimento,calorias,carboidrato,proteina,gordura
ABACATE,162,6.40,1.80,16.00
ABACAXI,52,13.70,0.40,0.20
ABÓBORA,40,9.80,1.20,0.30
ABOBRINHA,29.8,6.00,1.00,2.00
AÇAÍ,247,36.60,3.80,12.20
ACELGA,28.6,4.30,2.40,0.20
ACHOCOLATADO EM PÓ,395,93.10,3.00,1.20
AÇÚCAR MASCAVO,356,90.60,0.40,0.50
AÇÚCAR REFINADO,398,99.50,0,0
AGRIÃO,23,3.30,1.70,0.30
AIPIM CRU,142,33.00,2.00,0.20
AIPIM COZIDO,119,28.90,0.60,0.20
AIPIM FRITO,352,55.20,1.20,14.50
AIPO,21.2,3.30,1.10,0
ALCACHOFRA INTEIRA,79,16.70,2.60,0.20
ALFACE,16,2.30,1.20,0.20
ALFAFA,38,2.00,6.60,0.40
ALHO,134,29.30,5.30,0.20
ALHO PORRO,43.2,7.50,2.40,0.40
AMEIXA VERMELHA,54,13.50,0,0
AMEIXA SECA,187,43.15,2.37,0.44
AMEIXA – PASSAS DE,292,69.40,2.30,0.60
AMÊNDOA,640,19.60,18.60,54.10
AMENDOIM,576.9,6.01,28.10,48.54
AMIDO DE MILHO,344.2,85.00,0.60,0.20
AMORA,61,12.60,1.20,0.60
ARROZ POLIDO CRU,364,79.70,7.20,0.60
ARROZ POLIDO COZIDO,167,32.30,2.30,0.50
ARROZ INTEGRAL CRU,350.4,75.13,8.06,1.96
ASPARGO,22.7,3.30,1.80,0.20
ATUM CRU (PEIXE),146,0,24.80,5.20
ATUM EM CONSERVA NO AZEITE,262.5,0,24.00,18.50
AVEIA - GRÃO CRU,317.9,54.20,13.80,5.10
AVEIA – FLOCOS CRUS,328.6,65.00,14.00,1.40
AVELÃ,633,8.20,13.80,60.56
AZEITONA EM CONSERVA,139.6,2.80,1.50,13.50
BACALHAU CRU,73.8,0,18.00,0.20
BACALHAU SALGADO E PRENSADO,169.3,0,38.80,1.10
BACON,569.6,0,9.50,59.40
BANANA,105,26.60,2.20,0.20
BATATA-DOCE CRUA,89,20.00,1.90,0.10
BATATA-INGLESA CRUA,78.5,17.60,1.80,0.10
BERINJELA,19,3.90,1.00,0
BETERRABA CRUA,48.9,9.00,3.00,0.10
BETERRABA COZIDA,44.1,9.80,1.00,0.10
BISCOITO SALGADO,435,69.70,9.00,13.20
BOLACHA DE AVEIA,427,75.20,9.50,9.80
BOLACHA DE CHOCOLATE,518.8,68.50,6.30,24.40
BOLO,290,54.30,5.10,6.70
BRÓCOLIS,37,5.50,3.30,0.20
CACAU EM PÓ,365.1,18.00,21.00,23.24
CAFÉ EM PÓ,41,13.40,5.00,1.70

BANANA,105,26.60,2.20,0.20
BATATA-DOCE CRUA,89,20.00,1.90,0.10
BATATA-INGLESA CRUA,78.5,17.60,1.80,0.10
BERINJELA,19,3.90,1.00,0
BETERRABA CRUA,48.9,9.00,3.00,0.10
BETERRABA COZIDA,44.1,9.80,1.00,0.10
BISCOITO SALGADO,435,69.70,9.00,13.20
BOLACHA DE AVEIA,427,75.20,9.50,9.80
BOLACHA DE CHOCOLATE,518.8,68.50,6.30,24.40
BOLO,290,54.30,5.10,6.70
BRÓCOLIS,37,5.50,3.30,0.20
CACAU EM PÓ,365.1,18.00,21.00,23.24
CAFÉ EM PÓ,41,13.40,5.00,1.70
CAJÚ - FRUTA,36.5,8.40,0.80,0.20
CAJÚ – CASTANHA CRUA,556.2,37.92,17.89,37.00
CAMARÃO,101,0,21.20,1.80
CANA-DE-AÇÚCAR,63.4,15.00,0.46,0.27
CANJICA DE MILHO,363.3,70.00,9.80,4.90
CAQUI,74.4,17.71,0.60,0.13
CARAMBOLA,29,7.50,0.50,0.10
CARNE DE BOI GORDA,250.3,0,18.70,19.50
CARNE DE BOI MAGRA,111,0,21.00,3.00
CARNE DE COELHO,175,0,20.80,10.20
CARNE DE FRANGO,106.7,0,19.70,3.10
CARNE DE OVELHA,333,0,16.10,29.80
CARNE DE PATO,159,0,21.40,8.20
CARNE DE PERDIZ,113.9,0,25.26,1.43
CARNE DE PORCO MAGRA,181,0,18.50,11.90
CARNE DE SOJA - VEGETAL,106,8.70,13.10,3.20
CASTANHA-DO-PARÁ,699,7.00,17.00,67.00
CAVIAR,286.3,0,34.00,16.70
CEBOLA,31.5,5.60,1.60,0.30
CENOURA CRUA,50,10.70,1.20,0.30
CEREJA,96.9,22.80,1.20,0.10
CERVEJA,42,3.80,0.30,0
CHICÓRIA,21,2.90,1.60,0.30
CHOCOLATE – EM TABLETES,611,30.30,12.90,48.70
CHOCOLATE EM PÓ,509.9,46.66,13.33,30.00
CHUCHU,31,7.70,0.90,0.20
CLARA DE OVO DE GALINHA,43.2,0,10.80,0
COCADA,548,53.20,3.60,39.10
COCO – ÁGUA DE,18.1,4.13,0.13,0.12
COGUMELO FRESCO,18.4,2.40,1.70,0.20
CONHAQUE,249,0.80,0,0
CORAÇÃO DE GALINHA,132.3,0,20.70,5.50
COUVE CHINESA,13.3,1.99,1.21,0.06
COUVE-FLOR,30,4.30,2.50,0.22
COUVE-MANTEIGA,25,4.50,1.40,0.10
CREME DE LEITE,249,3.50,2.50,25.00
DAMASCO DESSECADO,130.8,29.60,3.10,0
ERVILHA EM CONSERVA,91,17.20,4.50,0.60
ERVILHA SECA INTEIRA,336.3,58.40,22.75,1.30
ERVILHA VERDE CRUA,100,16.90,7.00,0.50
ESPINAFRE CRU,22,2.60,2.30,0.30
FARINHA DE AVEIA,338.6,58.28,16.04,4.60
FARINHA DE CENTEIO,357.3,73.40,12.10,1.70
FARINHA LÁCTEA,424,75.10,13.50,7.80
FARINHA DE MANDIOCA,342.7,83.24,1.36,0.40
FARINHA DE MILHO,353.4,71.70,9.60,3.14
FARINHA DE ROSCA,412,73.60,11.40,7.40
FARINHA DE TRIGO,358.4,75.36,12.00,1.00
FEIJÃO PRETO CRU,343.6,62.37,20.74,1.27
FÍGADO DE BOI CRU,130.3,0,20.20,5.50
FIGO,43.9,8.60,1.70,0.30
FRAMBOESA,56.6,12.60,1.00,0.20
GELATINA EM PÓ,99.2,18.10,6.70,0
GEMA DE OVO DE GALINHA CRU,352.3,0,16.30,31.90
GENGIBRE,31.5,4.40,1.87,0.72
GERGELIM,593.6,13.29,20.60,50.91
GÉRMEM DE TRIGO,366,40.22,25.87,11.40
GOIABA,42.5,9.50,0.90,0.10
GOIABADA,274.6,68.34,0,0
GRÃO-DE-BICO COZIDO,115,17.70,6.10,2.20
GRAPE-FRUIT,46.9,11.60,0.08,0.02
IOGURTE NATURAL,76,15.50,3.50,0.10
JABUTICABA,44.9,11.20,0.54,0
KETCHUP,39.2,6.80,1.20,0.80
LARANJA,45.5,9.80,0.60,0.40
LEITE DE CABRA,92,5.20,4.30,6.00
LEITE DE VACA,63,5.00,3.10,3.50
LEITE DE VACA DESNATADO,36.1,5.00,3.60,0.10
LENTILHA CRUA,348.6,59.20,25.70,1.00
LIMÃO,28,8.10,0.60,0.60
LÍNGUA DE BOI CRUA,158.4,0,18.10,9.20
MACARRÃO CRU,353.4,69.00,14.00,2.40
MAÇÃ,63.2,14.20,0.40,0.50
MAIONESE,663.2,0.60,2.00,72.70
MAISENA,345.3,80.30,3.10,1.30
MAMÃO,58,12.50,0.50,0.45
MANDIOCA COZIDA,119,28.90,0.60,0.20
MANGA,64.3,15.00,0.40,0.30
MANTEIGA,754,0,1.39,83.28
MARACUJÁ,90,21.20,2.20,0.70
MARGARINA,766,0.80,0.90,84.45
MEL DE ABELHAS,312.5,78.14,0,0
MELANCIA,31,6.90,0.50,0.20
MELÃO,29.9,6.35,0.84,0.13
MILHO CRU,325.6,63.50,6.20,5.20
MISSO,199,25.10,12.50,6.40
MIÚDOS DE GALINHA,160,0,23.40,7.40
MOCOTÓ - GELÉIA,84,17.00,4.00,0
MOLHO SHOYO,45,7.20,3.10,0.12
MOLHO INGLÊS,91,8.00,1.50,6.90
MORANGA,18.8,2.70,1.87,0.06
MORANGO,39,7.40,1.00,0.60
MORTADELA,277,2.80,18.40,20.80
MOSTARDA (CONDIMENTO),78.5,5.00,4.50,4.50
MOSTARDA FOLHA,28.7,4.43,2.06,0.31
NABO CRU,35,7.10,1.10,0.20
NATA,206,3.50,3.00,20.00
NECTARINA,64,17.10,0.60,0
NOZES,705.2,13.00,18.40,64.40
ÓLEO DE MILHO,900,0,0,100
ÓLEO DE OLIVA,900,0,0,100
ÓLEO DE SOJA,900,0,0,100
OVO DE GALINHA INTEIRO CRU,150.9,0,12.30,11.30
PALMITO CRU,26,5.20,2.20,0.20
PÃO DE CENTEIO INTEGRAL,232,45.50,10.40,0.90
PÃO DE LEITE,305,62.40,9.80,1.90
PÃO FRANCÊS,269,57.40,9.30,0.20
PÃO DE MILHO,281,53.30,7.50,4.20
PATÉ DE FÍGADO,395.9,0,15.86,36.94
PATÉ DE GALINHA,312.8,0,15.66,27.80
PEIXE DE MAR CRU (MÉDIA),82.9,0,16.00,2.10
PEIXE DE ÁGUA DOCE CRU (MÉDIA),75,0,16.60,0.50
PEPINO COM CASCA,14.7,2.70,0.70,0.10
PERA CRUA,63.3,14.10,0.60,0.50
PERDIZ (CARNE CRUA),113.9,0,25.26,1.43
PÊSSEGO,51.5,11.72,0.85,0.14
PIMENTA MALAGUETA,38,6.50,1.30,0.70
PIMENTA-DO-REINO,24,5.00,1.00,0.03
PIMENTÃO,29,5.70,1.30,0.20
PINHÃO CRU,217.5,46.40,3.96,1.79
PINHÃO COZIDO,195.5,41.92,3.94,1.34
PIPOCA EM GRÃO,353.2,76.50,10.80,0.45
PITANGA,46.7,6.40,1.02,1.90
PRESUNTO CRU FRESCO,363.4,0,15.70,33.40
PRESUNTO MAGRO DEFUMADO,168,0,24.00,8.00
QUEIJO CHEDDAR NACIONAL,423.3,0,29.34,34.00
QUEIJO-DE-MINAS FRESCAL,243,0,18.00,19.00
QUEIJO GORGONZOLA,397.3,0,23.95,33.51
QUEIJO PARMESÃO,396.2,0,32.75,29.47
QUEIJO PRATO,352.9,0,29.32,26.18
QUEIJO PROVOLONE,295.5,0,27.96,20.41
QUEIJO ROQUEFORT,385.1,0,19.39,34.18
QUEIJO SUIÇO,404,1.90,28.60,31.30
RABANETE,15.9,2.80,0.60,0.13
REPOLHO CRU,25,4.30,1.40,0.20
REQUEIJÃO "CATURIPY",251.5,0,23.50,17.50
REQUEIJÃO COMUM,353.8,0,33.88,24.26
RICOTA,178.9,0,12.60,14.28
SAGÚ,340,86.40,0.60,0.20
SAL REFINADO,0,0,0,0
SAKÊ,134,5.00,0.50,0
SALAME,297.4,0,24.04,22.36
SALSA,43,8.50,3.20,0.60
SALSICHA COMUM,331,0,17.41,29.16
SALSICHÃO,445,0,19.00,41.00
SOJA CRUA,395,30.00,36.10,17.70
SORVETE DE CREME (MÉDIA),208,20.00,5.00,12.00
SORVETE DE FRUTAS,126.3,30.00,1.50,0
TÂMARA,177.6,41.16,1.90,0.60
TANGERINA,50,10.90,0.80,0.30
TOUCINHO FRESCO,900,0,0,100
TOUCINHO DEFUMADO,626,1.10,9.10,65.00
TOMATE,20,3.40,1.00,0.30
TRIGO GRÃO INTEIRO,353.7,70.10,12.70,2.50
TRIGO FARELO,310,56.70,14.50,2.80
UVA,78,14.90,1.40,1.40
UVA SUCO,61.6,15.10,0.30,0
VAGEM CRUA,42,7.70,2.40,0.20
VINHO (MÉDIA),85,4.20,0.10,0
WAFFLES,293.8,37.80,9.30,10.60
WHISKY,240,0,0,0